-3151, 15
1527, -712
2411, 1153
415, 159
1083, -2438
3049, -672
1602, 2686
-1627, 1530
-2431, -1427
-1176, -962
4, 1115
433, 1285
-511, 636
-2047, 1377
-1697, 2917
-78, 3010
15, 908
-257, -960
1162, -436
1226, 274
-2200, -1175
-4413, -2212
-1749, -627
2056, 1180
2471, 2132
91, 3731
-1938, 3607
-1699, -726
-301, -3937
-373, -1161
-928, 2069
1353, -27
4051, -3178
2093, -2735
-1380, -1738
-323, -2354
2026, -1554
503, 945
-946, 1605
1346, 520
2679, 802
684, 2257
-499, 2600
-440, 2003
-1809, 1634
-2143, 929
438, -373
1450, -548
-437, 1069
-279, 1894
2036, -148
1537, -2642
-1062, -1964
-1415, 956
-257, 2189
-9, 861
527, -431
1988, -167
2377, 683
1316, 875
224, 186
-483, -721
-644, -911
-85, -430
-153, -517
-1808, -1669
-3249, -2304
-2494, -686
-388, 1968
649, 2182
-415, -575
-1990, -2026
-2016, 362
-1082, 2847
-660, 2010
320, 376
2304, 284
2323, -403
151, -1886
213, -795
2400, 2154
1624, 2671
-1057, 1119
-402, 699
1270, 656
-811, -394
-2848, -268
-662, 1677
1127, 2594
-671, 1847
-1604, 1270
-190, 725
-153, -455
-883, -1182
344, -1268
841, -1539
-1313, -1351
-2280, -600
-980, -837
-1053, -1441
-1851, -373
-267, 1264
813, 1739
-1693, 2253
-3222, 2662
-218, 573
2514, -2230
1265, -1569
-433, 931
-373, 1058
-1139, 87
-2383, 936
-768, 1966
1967, 1083
1440, -458
-446, -1495
889, -2155
3371, -1714
2342, 138
-434, 1910
-1113, 2261
-1406, 895
-3409, -1618
-3656, -3196
189, -2318
3895, -543
3557, 521
978, 1533
-797, 1817
-1049, -362
-53, -2525
1114, -971
1042, 1956
359, 1991
526, 545
893, 536
521, 617
222, -492
395, -855
674, 27
1473, 209
1892, -141
-131, 771
-2545, 2129
-1028, 1679
2667, -64
3033, -517
284, 609
-1310, 772
-907, -871
-5, -1784
743, -854
431, -455
-564, -1212
575, -712
3765, 732
5033, 534
3474, -162
1471, 856
-565, 1655
-1794, 1134
392, 1872
3299, 2720
1233, -274
-2773, -3845
-1336, -2247
3130, 723
3311, -853
172, -3000
-1413, -854
-1560, 1387
-1432, 142
-189, -798
965, 679
486, 1832
234, 1913
1429, 1859
2263, 689
1805, -1285
379, -1951
-1640, -1761
-1874, -1833
748, -1120
1714, -540
-1162, -2264
-2280, -3389
353, -706
777, 1409
-1496, -826
-538, -2571
1824, -743
-203, -275
-2708, -2243
-451, -782
1370, 3506
-1227, 3183
-2605, -1370
-629, -2422
-716, 899
-2942, 2411
-2503, 541
-808, -589
-1309, 869
-1533, 2781
-83, 3065
-814, 1420
-3687, -982
-3570, -2062
-498, -938
443, 575
-1151, 454
-1219, -384
922, 165
2404, 1464
2046, 1100
756, -657
-961, -924
-2460, 1060
-2259, 2635
-816, 1754
-1214, -350
-3947, -1328
-5055, -953
-2996, -1031
-1496, -2134
-1914, -2188
-764, -17
2160, 2035
2709, 1968
673, 1205
-534, 546
-671, -1789
-729, -4805
443, -4440
1854, -1206
1047, 229
343, -154
2219, 1106
2614, 2413
-697, 190
-2371, -2731
-652, -1896
-736, 412
-2599, 272
-1483, -698
417, -130
-1033, 128
-1795, -1266
1285, -2147
2690, -1336
-359, -463
-2569, -388
-1560, -255
-455, 89
-152, -257
85, -1546
-535, -2757
-1069, -2601
