1788,-6776
-5620,-5518
-12037,-1740
-8286,-5079
-1590,-6857
-1189,3235
-1021,11303
6407,7779
13357,3409
10728,-669
2633,-9196
-4358,-8057
-8722,5903
-7171,6298
973,-9934
6853,-9809
5569,9692
4122,14156
4805,-2309
399,-13271
-7508,-10640
-8077,-4269
-1198,2035
2726,2403
359,-7040
-3127,-11191
-4386,-427
-3306,7411
-342,601
2776,-7023
4440,-7963
5754,-8957
8682,-7053
11596,-143
8679,-2567
-1603,-15316
-8348,-15954
-1052,-1874
10126,3992
7765,217
-1825,4288
-81,6971
8605,-9721
8296,-23822
4518,-6235
7860,20438
5984,18166
-10173,-886
-20915,-3651
-12017,4466
423,3063
4335,328
10002,8327
18040,14890
13655,10650
645,4514
-2539,-214
1978,-7224
697,-10421
-683,-7133
6329,-6969
9200,-8598
346,-2310
-3638,2299
4127,-5980
5524,-11887
-3334,-6011
-2012,-6734
10460,-14321
10115,-2718
-5363,18890
-13294,12573
-8979,-12178
-5832,-14545
-3415,-3029
3191,-10988
3483,-23069
-5576,-11131
-8057,4320
-1975,53
-3463,-4591
-10362,1752
-7698,-190
-2133,-7593
-4666,429
-3259,7990
5904,-8784
1806,-25161
-14282,-13366
-12769,2876
3417,212
1705,-920
-12000,11045
-5572,12695
10214,-1578
3852,-7857
-11187,-561
-6560,4686
3296,4988
-3641,5511
-11522,3341
-4800,-1191
-449,-2897
-9603,-3279
-16304,-2025
-10731,4976
-2131,7895
2770,-3154
4483,-10812
3622,243
4337,9266
8776,-510
8425,-7945
-595,34
-6616,2476
-2817,-6761
2851,-5240
6320,9542
9816,17176
7705,14287
-2330,7499
-5893,-7343
4172,-22010
10913,-14900
3607,4976
-1649,5458
6586,-11418
11687,-14626
-420,575
-13362,12431
-7272,12747
7865,9363
11329,6177
5535,2704
3942,-1338
3723,-6254
-1772,-7767
-4095,-362
1761,11208
5031,16938
2739,14630
4991,7255
10582,-1670
10463,-5916
7374,-4469
3107,-6222
-8158,-12608
-15786,-11853
-4588,-2251
8010,1869
236,-5461
-9828,-14521
-4129,-16499
-2359,-9673
-11194,2178
-4425,7995
15238,1373
17104,-5772
8625,-760
14804,7043
20181,2387
9470,-8395
6722,-7194
15795,6685
4811,15092
-20354,8301
-21776,-659
-5332,2025
290,7685
3355,2282
12925,-7584
7466,-9961
-10667,-9369
-8949,-9382
8844,-2183
11518,5799
2707,-2488
2694,-16076
5315,-10211
3428,3709
6443,-2055
9798,-17007
1786,-13932
-4855,-34
2739,3556
9446,1298
4084,3570
-704,3655
1329,-490
1945,2217
1254,11107
3770,13568
5024,9332
4060,6633
7050,3573
10140,-2759
4115,-3367
-5809,5832
-7597,11086
-2664,3018
-1301,-5914
-5055,-3963
-5900,-1630
-849,-11309
2016,-23034
-2708,-20658
-7025,-6930
-3469,4544
1872,8567
2237,8121
-449,6448
-6745,4384
-17412,-20
-19613,-5488
-3086,-3510
16613,6962
18112,11451
4927,4335
-4651,933
-2565,6972
5727,6543
9416,-3661
3213,-6007
-3378,1350
1764,159
13142,-10613
16336,-11917
9233,618
-905,11093
-8964,10916
-10874,8266
-3891,8899
8598,4325
17661,-10637
12380,-20103
-6806,-9105
-15489,6170
4111,2983
23782,-7300
10820,-3074
-9395,6502
-257,5662
14378,2905
2822,4538
-8003,1609
5965,-798
12953,7016
-5436,7877
-16725,-9524
-5399,-17085
5649,2298
7740,18710
8135,9733
1379,-4729
-9870,-5420
-8108,946
1999,4379
1551,1928
-4273,-4097
-3872,-3992
-4176,3242
-5717,3972
1511,-344
8686,5491
3086,10707
-3884,-3718
-1997,-16817
-203,-2540
-1444,16178
-2773,11218
-10918,501
-19617,4827
-9893,9902
5429,3093
-1147,-6173
-13723,-11107
-5187,-10809
4436,-2609
-6563,5458
-14691,3047
-5711,229
-2663,7949
-10424,13212
-10565,4138
-8070,-8274
-12816,-11712
-9792,-7143
1565,-362
-730,720
-7813,-5835
5207,-6543
20268,4817
11058,10092
-1673,-527
2732,-9176
4405,-4861
-4047,498
-1051,-1833
8580,-9538
2790,-17191
-4403,-12598
5877,5751
11898,10634
-895,-10363
-7180,-21358
736,58
-2634,17910
-14477,5248
-7623,-8601
6819,585
-251,12372
-15663,9454
-13322,2736
-4635,331
-5485,-880
-4114,470
2536,5038
-1565,7414
-10650,6869
-5758,6815
1639,7228
-7216,8568
-15174,11461
-2609,11377
11147,6347
4969,538
-5755,-6448
-2048,-15337
7013,-15441
7902,-1025
3709,12797
-567,13287
-7641,9231
-16539,9547
-18497,7861
-9951,525
-1051,-4313
-2126,-2502
-6519,204
-3519,281
-1470,629
-10387,1864
-14424,41
484,-4128
12399,-3813
151,679
-15254,511
-8379,-2956
7339,1671
8438,11229
-2898,11354
-12086,5064
-10880,4365
-754,2623
5248,-7759
-846,-10573
-4835,4429
2364,15844
2827,6549
-9466,-6511
-9606,-2290
7810,12033
14240,14524
2714,74
-2336,-11069
4824,-2070
7310,10302
2370,1803
-264,-12892
1720,-6279
6235,7533
8905,1561
3125,-10881
-6257,-8405
-7313,-3516
-2219,-6647
1446,-2640
6227,9121
8976,8945
588,-2136
-8530,-6684
-4105,-3551
1326,-1262
-4019,-2813
-5627,-8480
1703,-9985
1872,2396
-3685,13892
-737,6201
3468,-3456
530,1565
2569,-1272
10903,-19000
10881,-15790
4541,11225
-266,17134
-8335,-2120
-10220,-6397
8935,4195
24844,851
10957,-6959
-5361,-378
1619,4947
5420,442
