-8783,-9700
-8480,-12352
-7914,-14295
-7118,-15513
-6112,-16039
-4910,-15934
-3524,-15262
-1974,-14079
-292,-12429
1469,-10348
3237,-7877
4925,-5081
6439,-2056
7687,1065
8593,4122
9102,6941
9189,9359
8861,11254
8151,12558
7117,13277
5834,13483
4381,13303
2842,12891
1289,12402
-216,11959
-1630,11632
-2925,11433
-4092,11317
-5138,11202
-6087,10995
-6966,10618
-7808,10024
-8639,9216
-9475,8235
-10313,7152
-11127,6043
-11876,4962
-12502,3926
-12943,2905
-13146,1833
-13073,623
-12723,-796
-12126,-2453
-11351,-4308
-10498,-6239
-9681,-8055
-9012,-9521
-8587,-10403
-8463,-10519
-8652,-9785
-9120,-8246
-9792,-6086
-10567,-3609
-11338,-1198
-12010,755
-12513,1911
-12812,2057
-12908,1139
-12824,-711
-12593,-3198
-12242,-5909
-11778,-8384
-11180,-10191
-10408,-10996
-9413,-10618
-8155,-9047
-6636,-6442
-4907,-3086
-3083,660
-1339,4432
115,7909
1064,10864
1331,13168
818,14791
-466,15768
-2387,16161
-4694,16021
-7054,15362
-9100,14155
-10490,12343
-10974,9872
-10435,6739
-8929,3024
-6673,-1078
-4020,-5260
-1402,-9125
744,-12242
2051,-14211
2285,-14738
1392,-13695
-490,-11160
-3053,-7415
-5868,-2921
-8454,1755
-10360,6023
-11230,9362
-10863,11402
-9238,11981
-6508,11161
-2967,9210
1000,6548
4982,3669
8606,1057
11583,-895
13740,-1933
15021,-1976
15479,-1103
15239,479
14465,2492
13318,4641
11935,6676
10411,8420
8804,9793
7148,10795
5469,11491
3814,11969
2257,12311
903,12568
-120,12750
-682,12828
-681,12754
-74,12484
1112,12001
2763,11330
4686,10544
6633,9750
8336,9069
9547,8615
10079,8462
9837,8635
8841,9099
7220,9773
5197,10544
3054,11297
1092,11935
-418,12399
-1270,12673
-1355,12777
-671,12748
680,12622
2515,12410
4602,12087
6696,11592
8580,10846
10094,9771
11157,8328
11765,6540
11991,4510
11953,2424
11795,524
11651,-923
11617,-1678
11737,-1580
11991,-587
12304,1201
12560,3545
12631,6097
12399,8446
11786,10188
10770,10990
9391,10643
7746,9098
5977,6470
4246,3020
2704,-892
1477,-4867
640,-8525
215,-11561
180,-13780
476,-15110
1032,-15589
1783,-15339
2692,-14529
3748,-13334
4969,-11904
6381,-10348
7997,-8730
9793,-7085
11687,-5434
13530,-3813
15113,-2285
16189,-948
16513,73
15886,649
14200,674
11475,92
7876,-1074
3705,-2716
-626,-4644
-4648,-6607
-7904,-8334
-10007,-9569
-10707,-10119
-9922,-9887
-7755,-8887
-4475,-7250
-472,-5202
3797,-3032
7879,-1045
11386,479
14038,1332
15695,1400
16348,685
16107,-709
15153,-2591
13707,-4719
11977,-6840
10139,-8725
8316,-10209
6578,-11204
4965,-11713
3497,-11819
2201,-11662
1119,-11410
315,-11226
-135,-11233
-161,-11492
279,-11985
1178,-12619
2471,-13237
4032,-13644
5692,-13642
7256,-13063
8538,-11799
9386,-9824
9700,-7200
9451,-4073
8669,-651
7433,2824
5845,6113
4015,9004
2036,11345
-20,13051
-2096,14109
-4142,14560
-6093,14488
-7853,13986
-9287,13147
-10227,12041
-10493,10716
-9922,9205
-8411,7538
-5958,5761
-2679,3950
1179,2217
5263,706
9154,-422
12431,-1016
14742,-967
15863,-238
15749,1120
14549,2958
12582,5046
10295,7098
8178,8817
6678,9944
6121,10298
6640,9812
8153,8548
10368,6688
12836,4506
15026,2325
16424,466
16623,-804
15402,-1310
12764,-996
8946,73
4378,1726
-386,3719
-4758,5773
-8205,7619
-10329,9033
-10921,9863
-9977,10038
-7686,9569
-4382,8533
-482,7052
3584,5269
7432,3330
10768,1361
13410,-538
15277,-2293
16370,-3860
16739,-5215
16446,-6346
15541,-7249
14052,-7924
11990,-8364
9366,-8563
6225,-8509
2665,-8188
-1141,-7587
-4943,-6694
-8437,-5507
-11290,-4037
-13197,-2316
-13922,-398
-13344,1635
-11486,3675
-8517,5597
-4737,7265
-534,8553
3667,9359
7469,9618
10556,9319
12736,8509
13958,7286
14310,5793
13989,4196
13259,2667
12397,1361
11646,399
11167,-142
11025,-228
11180,131
11506,896
11827,2010
11953,3410
11726,5029
11045,6801
9895,8653
8343,10502
6528,12245
4635,13757
2861,14898
1384,15524
335,15504
-218,14747
-272,13217
119,10954
866,8074
1868,4769
3031,1281
4290,-2122
5609,-5180
6984,-7670
8419,-9433
9915,-10387
11440,-10526
12918,-9913
14219,-8658
15168,-6897
15567,-4775
15224,-2427
14000,23
11838,2465
8800,4789
5074,6883
967,8623
-3125,9875
-6767,10506
-9554,10403
-11170,9491
-11449,7756
-10413,5266
-8277,2168
-5428,-1315
-2371,-4907
353,-8315
2249,-11262
2957,-13525
2321,-14963
414,-15536
-2455,-15300
-5791,-14393
-8990,-13009
-11438,-11366
-12618,-9665
-12197,-8071
-10094,-6686
-6491,-5549
-1820,-4639
3310,-3887
8205,-3202
12200,-2487
14758,-1661
15555,-673
14525,495
11855,1825
7954,3268
3372,4753
-1291,6201
-5476,7531
-8749,8674
-10845,9582
-11691,10235
-11384,10644
-10151,10854
-8280,10935
-6068,10977
-3761,11073
-1531,11303
536,11712
2418,12295
4133,12986
5702,13658
7113,14130
8313,14198
9205,13659
9671,12357
9603,10212
8940,7253
7703,3631
6001,-395
4034,-4474
2065,-8218
377,-11243
-773,-13231
-1203,-13973
-841,-13398
264,-11580
1945,-8723
3952,-5129
5995,-1150
7793,2863
9117,6600
9828,9830
9881,12410
9323,14278
8265,15441
6851,15947
5224,15855
3496,15221
1738,14085
-20,12473
-1773,10410
-3515,7936
-5222,5123
-6826,2081
-8221,-1045
-9270,-4086
-9832,-6873
-9795,-9260
-9110,-11147
-7815,-12493
-6045,-13320
-4018,-13696
-2012,-13719
-314,-13491
822,-13096
1225,-12588
832,-11988
-297,-11300
-1989,-10529
-3993,-9703
-6021,-8894
-7798,-8216
-9103,-7814
-9800,-7835
-9850,-8387
-9297,-9492
-8250,-11060
-6849,-12870
-5232,-14589
-3508,-15816
-1748,-16149
18,-15270
1779,-13017
3528,-9445
5234,-4847
6832,268
8215,5243
9251,9372
9801,12019
9760,12735
9081,11347
7802,8005
6053,3171
4051,-2445
2063,-7994
372,-12630
-771,-15647
-1195,-16591
-832,-15340
263,-12115
1929,-7439
3921,-2042
5955,3262
7756,7709
9097,10702
9835,11896
9915,11226
9376,8895
8320,5312
6888,1005
5222,-3479
3445,-7659
1640,-11183
-145,-13856
-1892,-15627
-3591,-16556
-5217,-16756
-6720,-16348
-8016,-15411
-8994,-13973
-9539,-12014
-9555,-9498
-8995,-6417
-7883,-2834
-6320,1089
-4484,5081
-2603,8788
-925,11811
323,13778
971,14403
932,13555
216,11282
-1079,7825
-2781,3588
-4683,-920
-6578,-5161
-8290,-8649
-9700,-11021
-10756,-12087
-11470,-11847
-11902,-10477
-12135,-8283
-12251,-5641
-12314,-2926
-12354,-449
-12372,1585
-12342,3100
-12225,4137
-11989,4826
-11611,5343
-11092,5859
-10447,6504
-9701,7334
-8880,8332
-7999,9415
-7059,10464
-6050,11359
-4953,12010
-3758,12377
-2470,12481
-1118,12395
242,12217
1545,12045
2723,11942
3732,11919
4571,11927
5286,11863
5972,11594
6750,10994
7742,9977
9027,8526
10609,6710
12388,4681
14159,2656
15629,878
16462,-425
16338,-1082
15025,-1014
12443,-245
8703,1100
4119,2816
-815,4660
-5493,6389
-9285,7801
-11638,8764
-12179,9224
-10780,9202
-7600,8767
-3065,8009
2185,7006
7397,5800
11818,4396
14813,2763
15964,865
15131,-1308
12466,-3707
8380,-6197
3470,-8559
-1579,-10506
-6107,-11719
-9574,-11913
-11635,-10892
-12173,-8603
-11303,-5176
-9327,-919
-6673,3704
-3823,8135
-1229,11809
742,14234
1851,15079
2005,14224
1252,11784
-251,8091
-2266,3636
-4522,-1006
-6755,-5271
-8737,-8687
-10305,-10941
-11369,-11912
-11922,-11660
-12030,-10396
-11819,-8426
-11453,-6074
-11111,-3633
-10952,-1313
-11091,775
-11565,2607
-12326,4219
-13230,5663
-14049,6970
-14504,8118
-14306,9028
-13212,9576
-11075,9629
-7891,9085
-3822,7919
804,6210
5527,4148
9814,2012
13134,129
15043,-1184
15262,-1684
13729,-1254
10625,69
6352,2094
1482,4502
-3324,6907
-7418,8922
-10254,10230
-11472,10637
-10944,10106
-8780,8756
-5304,6832
-989,4656
3622,2564
8000,845
11704,-302
14436,-791
16060,-641
16602,40
16210,1105
15110,2405
13554,3824
11773,5302
9945,6823
8182,8405
6539,10060
5026,11760
3644,13417
2399,14869
1325,15895
486,16253
-35,15725
-153,14172
191,11582
1013,8089
2264,3979
3831,-341
5547,-4399
7209,-7723
8608,-9916
9561,-10714
9939,-10030
9678,-7961
8792,-4768
7365,-834
5534,3399
3466,7495
1330,11083
-721,13896
-2572,15789
-4153,16737
-5437,16806
-6434,16122
-7177,14831
-7710,13071
-8066,10949
-8263,8539
-8297,5892
-8136,3049
-7733,68
-7034,-2968
-5988,-5941
-4569,-8702
-2781,-11094
-673,-12967
1657,-14209
4064,-14766
6366,-14651
8361,-13946
9844,-12787
10634,-11345
10599,-9795
9674,-8289
7877,-6934
5312,-5783
2162,-4828
-1331,-4017
-4890,-3267
-8237,-2488
-11123,-1604
-13357,-568
-14823,631
-15491,1963
-15407,3372
-14681,4785
-13464,6127
-11919,7338
-10206,8380
-8453,9241
-6758,9935
-5185,10496
-3769,10962
-2536,11371
-1508,11745
-715,12091
-200,12393
-11,12618
-193,12725
-771,12672
-1741,12428
-3053,11977
-4617,11331
-6305,10520
-7968,9594
-9462,8613
-10666,7633
-11507,6693
-11974,5808
-12113,4963
-12026,4109
-11841,3178
-11691,2094
-11679,792
-11856,-759
-12204,-2540
-12631,-4470
-12988,-6409
-13086,-8169
-12733,-9539
-11768,-10323
-10096,-10371
-7708,-9621
-4689,-8119
-1216,-6031
2463,-3629
6066,-1260
9310,703
11952,1924
13819,2158
