-551,-1208
1285,-4274
694,-6762
-2009,-8621
-5001,-9206
-6251,-7603
-4861,-3476
-1533,2266
2047,7586
4356,10262
4864,9102
4030,4618
2655,-1281
1201,-6352
-387,-9126
-2297,-9393
-4337,-7876
-5794,-5507
-5849,-2907
-4214,-405
-1481,1609
1123,2470
2441,1517
2043,-1288
408,-4934
-1473,-7635
-2746,-7771
-3126,-4953
-2877,-409
-2431,3626
-1999,5209
-1469,3802
-616,476
598,-2924
1914,-5011
2942,-5616
3463,-5566
3628,-5753
3872,-6269
4618,-6335
5947,-5086
7465,-2562
8434,-53
8106,590
6098,-1721
2651,-6325
-1336,-10952
-4545,-13006
-5735,-11216
-4293,-6433
-650,-1130
3737,2204
6971,2620
7611,1183
5485,66
1860,865
-1198,3342
-1979,5469
-124,4776
3193,142
6031,-7160
6942,-13866
5864,-16414
4084,-12916
3227,-4290
4017,6094
5648,14054
6254,16624
4177,13410
-800,6617
-7158,-211
-12424,-3984
-14511,-3652
-12903,-343
-8701,3380
-3813,5082
167,3804
2619,492
3760,-2738
3993,-3993
3399,-2824
1793,-481
-763,974
-3542,155
-5294,-2547
-5040,-5045
-2911,-4823
-352,-683
646,6278
-1159,13034
-5234,16352
-9362,14733
-10851,9319
-8178,3169
-2022,-648
5037,-945
9931,989
10767,2447
7706,1276
2582,-2575
-2379,-6976
-5818,-9059
-7698,-7144
-8761,-1881
-9539,4163
-9705,8155
-8266,8700
-4427,6467
1530,3424
8015,1299
12784,443
14098,-166
11562,-1668
6391,-4272
680,-6713
-3632,-7080
-5575,-4303
-5373,796
-4067,5696
-2867,7575
-2594,5036
-3433,-969
-4974,-7597
-6444,-11662
-7001,-11287
-6044,-6712
-3490,103
74,6692
3492,11267
5442,13249
5022,13018
2247,11288
-1857,8627
-5658,5402
-7682,2010
-7311,-956
-5058,-2822
-2243,-3194
-265,-2246
118,-693
-885,605
-2322,1119
-3117,905
-2699,457
-1325,285
76,538
421,944
-925,1100
-3755,879
-7040,648
-9348,1094
-9493,2757
-7126,5559
-2968,8656
1430,10757
4370,10773
4800,8432
2836,4520
-292,563
-2902,-1903
-3768,-2087
-2787,-319
-984,2187
176,4050
-239,4512
-1962,3830
-3635,3009
-3642,3049
-1196,4179
3028,5617
7138,6045
9035,4549
7616,1386
3432,-1973
-1589,-3635
-5173,-2451
-5873,1189
-3725,5503
-50,8340
3373,8455
5219,6198
5111,3167
3487,1090
1099,697
-1473,1361
-3975,1730
-6306,851
-8261,-1053
-9462,-2730
-9568,-2867
-8588,-1153
-7033,1370
-5742,2956
-5445,2365
-6329,-236
-7882,-3333
-9133,-5052
-9154,-4374
-7552,-1736
-4699,1360
-1589,3397
583,3755
919,2851
-817,1532
-4090,263
-7772,-1175
-10524,-3250
-11270,-5929
-9595,-8304
-5940,-9024
-1496,-7293
2197,-3643
3808,172
2741,2258
-606,1891
-4943,120
-8545,-869
-9884,726
-8217,4947
-3885,9833
1769,12516
6879,10988
9771,5350
9626,-2216
6839,-8694
2843,-11833
-538,-11089
-1953,-7472
-1162,-2640
911,1997
2778,5581
3317,7571
2482,7471
1332,4980
1307,527
3202,-4382
6493,-7551
9516,-7244
10442,-3415
8450,1949
4319,5805
-2,5903
-2590,2296
-2749,-2570
-1382,-5379
-270,-4121
-732,537
-2602,5665
-4269,8029
-3813,6268
-469,1793
4607,-2212
8872,-2991
9949,-85
7185,4411
2167,7348
-2196,6695
-3466,2879
-1163,-1614
2998,-4013
6258,-3119
6583,19
3867,3011
-150,3872
-3143,2322
-3717,-212
-2184,-1788
-149,-1376
696,540
-302,2512
-2468,3336
-4421,2934
-5058,2264
-4151,2419
-2208,3665
182,5207
2859,5853
6017,5027
